,Date,District,Final_aqi
427,2024-10-21,Sargodha,111.87545345833333
428,2024-10-21,Sheikhupura,130.14305979166667
429,2024-10-21,Sialkot,102.86229529166667
430,2024-10-21,Toba Tek Singh,95.11624108333332
431,2024-10-21,Vehari,89.05824916666667
432,2024-10-22,Attock,82.063814375
433,2024-10-22,Bahawalnagar,87.11975504166666
434,2024-10-22,Bahawalpur,110.640598125
435,2024-10-22,Bhakkar,65.81584441666666
436,2024-10-22,Chakwal,76.15187795833333
437,2024-10-22,Chiniot,106.77534775
438,2024-10-22,Dera Ghazi Khan,80.69334049999999
439,2024-10-22,Faisalabad,86.15559141666667
440,2024-10-22,Gujranwala,98.10723075
441,2024-10-22,Gujrat,76.26440774999999
442,2024-10-22,Hafizabad,95.81393141666666
443,2024-10-22,Jhang,91.29510429166668
444,2024-10-22,Jhelum,89.38021637499999
445,2024-10-22,Kasur,81.15906508333333
446,2024-10-22,Khanewal,85.27573179166667
447,2024-10-22,Khushab,73.89440233333333
448,2024-10-22,Lahore,110.393237125
449,2024-10-22,Layyah,73.98487954166667
450,2024-10-22,Lodhran,78.408675375
451,2024-10-22,Mandi Bahuddin,96.62940225
452,2024-10-22,Mianwali,75.301698875
453,2024-10-22,Multan,78.7254375
454,2024-10-22,Muzaffargarh,74.496075
455,2024-10-22,Nankana Sahib,83.104097125
456,2024-10-22,Narowal,91.39181333333333
457,2024-10-22,Okara,75.99753475
458,2024-10-22,Pakpattan,88.72880741666667
459,2024-10-22,Rahim Yar Khan,70.64300354166666
460,2024-10-22,Rajanpur,68.87788483333334
461,2024-10-22,Rawalpindi,83.54519991666668
462,2024-10-22,Sahiwal,86.94847566666668
463,2024-10-22,Sargodha,100.16984545833333
464,2024-10-22,Sheikhupura,114.950794125
465,2024-10-22,Sialkot,93.67397966666665
466,2024-10-22,Toba Tek Singh,84.90747295833333
467,2024-10-22,Vehari,84.64138945833334
468,2024-10-23,Attock,80.47814333333334
469,2024-10-23,Bahawalnagar,108.21336308333333
470,2024-10-23,Bahawalpur,172.98647083333333
471,2024-10-23,Bhakkar,75.66390029166666
472,2024-10-23,Chakwal,75.65737008333333
473,2024-10-23,Chiniot,107.13788991666667
474,2024-10-23,Dera Ghazi Khan,82.22241475
475,2024-10-23,Faisalabad,105.92554204166667
476,2024-10-23,Gujranwala,95.81399295833334
477,2024-10-23,Gujrat,72.38111083333334
478,2024-10-23,Hafizabad,93.12764812500001
479,2024-10-23,Jhang,108.5048405
480,2024-10-23,Jhelum,86.81786149999999
