date,hour,District,AQI
11/7/2024,21:00,Bahawalnagar,149.98
11/7/2024,21:00,Bahawalpur,222.7
11/7/2024,21:00,Bhakkar,193.535
11/7/2024,21:00,Chakwal,194.465
11/7/2024,21:00,Chiniot,247.705
11/7/2024,21:00,Dera Ghazi Khan,205.67
11/7/2024,21:00,Faisalabad,219.745
11/7/2024,21:00,Gujranwala,234.1
11/7/2024,21:00,Gujrat,161.255
11/7/2024,21:00,Hafizabad,223.04
11/7/2024,21:00,Jhang,210.66
11/7/2024,21:00,Jhelum,193.445
11/7/2024,21:00,Kasur,187.275
11/7/2024,21:00,Khanewal,225.65
11/7/2024,21:00,Khushab,217.09
11/7/2024,21:00,Lahore,230.905
11/7/2024,21:00,Layyah,175.055
11/7/2024,21:00,Lodhran,249.78
11/7/2024,21:00,Mandi Bahuddin,247.565
11/7/2024,21:00,Mianwali,167.995
11/7/2024,21:00,Multan,235.875
11/7/2024,21:00,Muzaffargarh,207.57
11/7/2024,21:00,Nankana Sahib,213.38
11/7/2024,21:00,Narowal,207.505
11/7/2024,21:00,Okara,180.805
11/7/2024,21:00,Pakpattan,147.77
11/7/2024,21:00,Rahim Yar Khan,188.48
11/7/2024,21:00,Rajanpur,198.19
11/7/2024,21:00,Rawalpindi,183.445
11/7/2024,21:00,Sahiwal,164.635
11/7/2024,21:00,Sargodha,237.64
11/7/2024,21:00,Sheikhupura,274.265
11/7/2024,21:00,Sialkot,240.75
11/7/2024,21:00,Toba Tek Singh,161.645
11/7/2024,21:00,Vehari,239.45
11/7/2024,22:00,Attock,273.4
11/7/2024,22:00,Bahawalnagar,150.15
11/7/2024,22:00,Bahawalpur,213.94
11/7/2024,22:00,Bhakkar,193.205
11/7/2024,22:00,Chakwal,192.585
11/7/2024,22:00,Chiniot,242.04
11/7/2024,22:00,Dera Ghazi Khan,186.27
11/7/2024,22:00,Faisalabad,237.79
11/7/2024,22:00,Gujranwala,225.53
11/7/2024,22:00,Gujrat,155.18
11/7/2024,22:00,Hafizabad,222.63
11/7/2024,22:00,Jhang,206.905
11/7/2024,22:00,Jhelum,183.875
11/7/2024,22:00,Kasur,179.895
11/7/2024,22:00,Khanewal,205.445
11/7/2024,22:00,Khushab,214.95
11/7/2024,22:00,Lahore,204.79
11/7/2024,22:00,Layyah,164.35
11/7/2024,22:00,Lodhran,256.395
11/7/2024,22:00,Mandi Bahuddin,237.415
11/7/2024,22:00,Mianwali,163.665
11/7/2024,22:00,Multan,221.28
11/7/2024,22:00,Muzaffargarh,194.995
11/7/2024,22:00,Nankana Sahib,203.195
11/7/2024,22:00,Narowal,204.185
11/7/2024,22:00,Okara,180.705
11/7/2024,22:00,Pakpattan,148.355
11/7/2024,22:00,Rahim Yar Khan,183.19
11/7/2024,22:00,Rajanpur,176.655
11/7/2024,22:00,Rawalpindi,179.675
11/7/2024,22:00,Sahiwal,163.665
11/7/2024,22:00,Sargodha,231.335
11/7/2024,22:00,Sheikhupura,246.71
11/7/2024,22:00,Sialkot,230.075
11/7/2024,22:00,Toba Tek Singh,159.98
11/7/2024,22:00,Vehari,224.845
11/7/2024,23:00,Attock,264.2
11/7/2024,23:00,Bahawalnagar,151.09
11/7/2024,23:00,Bahawalpur,203.85
11/7/2024,23:00,Bhakkar,191.14
11/7/2024,23:00,Chakwal,188.94
11/7/2024,23:00,Chiniot,233.985
11/7/2024,23:00,Dera Ghazi Khan,160.67
11/7/2024,23:00,Faisalabad,265.285
11/7/2024,23:00,Gujranwala,217.825
11/7/2024,23:00,Gujrat,152.055
11/7/2024,23:00,Hafizabad,221.85
11/7/2024,23:00,Jhang,204.9
11/7/2024,23:00,Jhelum,174.53
11/7/2024,23:00,Kasur,174.695
